Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
indo-pectinia-coral-lps,Indo Pectinia Coral,Title,Default Title,,,,,C1056,,,5300  S Atlantic Ave,,0,0,0,1,1,
aussie-multi-color-goniopora-coral-lps,Aussie Multi Color Goniopora Coral,Title,Default Title,,,,,C1057,,,5300  S Atlantic Ave,,0,0,0,1,1,
aussie-red-rim-chalice-coral-sps,Aussie Red Rim Chalice Coral,Title,Default Title,,,,,C1058,,,5300  S Atlantic Ave,,0,0,0,1,1,
waving-hand-anthelia-coral-soft,Waving Hand Anthelia Coral,Title,Default Title,,,,,C1059,,,5300  S Atlantic Ave,,0,0,0,3,3,
ecc-dragon-tamer-chalice-lps-coral,ECC Dragon Tamer Chalice Coral,Title,Default Title,,,,,C1064,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-frost-fire-chalice-coral-lps,ECC Frost Fire Chalice Coral,Title,Default Title,,,,,C1065,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-molten-meteor-cyphastrea-coral-sps,ECC Molten Meteor Cyphastrea Coral,Title,Default Title,,,,,C1067,,,5300  S Atlantic Ave,,0,0,0,2,2,
ecc-drogon-cyphastrea-coral-sps,ECC Drogon Cyphastrea Coral,Title,Default Title,,,,,C1068,,,5300  S Atlantic Ave,,0,0,0,2,2,
ecc-prometheus-hammer-coral-lps,ECC Prometheus Hammer Coral,Title,Default Title,,,,,c1069,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-dark-knight-hammer-coral-euphyllia-lps,ECC Dark Knight Hammer Coral,Title,Default Title,,,,,C1070,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-hazy-days-favites-coral-lps,ECC Hazy Days Favites Coral,Title,Default Title,,,,,C1071,,,5300  S Atlantic Ave,,0,0,0,2,2,
ecc-falcon-favia-coral-lps,ECC Falcon Favia Coral,Title,Default Title,,,,,C1072,,,5300  S Atlantic Ave,,0,0,0,2,2,
ecc-flame-boy-favia-coral-lps,ECC Flame Boy Favia Coral,Title,Default Title,,,,,C1074,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-fascination-favia-coral-sps,ECC Fascination Favia Coral,Title,Default Title,,,,,C1075,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-hypo-tango-favia-coral-lps,ECC Hypo Tango Favia Coral,Title,Default Title,,,,,C1076,,,5300  S Atlantic Ave,,0,0,0,2,2,
ecc-yellow-passion-galaxea-coral-lps,ECC Yellow Passion Galaxea Coral,Title,Default Title,,,,,C1077,,,5300  S Atlantic Ave,,0,0,0,2,2,
bubblegum-digitata-montipora-coral-sps,Bubblegum Digitata Montipora Coral,Title,Default Title,,,,,C1004,,,5300  S Atlantic Ave,,0,0,0,4,4,
ecc-love-shack-montipora-coral,ECC Love Shack Montipora Coral,Title,Default Title,,,,,C1080,,,5300  S Atlantic Ave,,0,0,0,2,2,
tsa-candy-corn-clove-polyps-coral-soft,TSA Candy Corn Clove Polyps Coral,Title,Default Title,,,,,C1082,,,5300  S Atlantic Ave,,0,0,0,2,2,
ecc-cookies-and-cream-cauliflower-coral-pocillopora,ECC Cookies and Cream Cauliflower Coral,Title,Default Title,,,,,C1083,,,5300  S Atlantic Ave,,0,0,0,3,3,
ecc-starlight-cespitularia-coral-soft,ECC Starlight Cespitularia Coral,Title,Default Title,,,,,C1084,,,5300  S Atlantic Ave,,0,0,0,3,3,
ecc-plasma-cutter-zoanthid-coral-soft,ECC Plasma Cutter Zoanthid Coral,Title,Default Title,,,,,C1086,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-shatterfield-zoanthid-coral-zoas-soft,ECC Shatterfield Zoanthid Coral,Title,Default Title,,,,,C1087,,,5300  S Atlantic Ave,,0,0,0,2,2,
ecc-blow-pops-zoanthid-coral-zoas-soft,ECC Blow Pops Zoanthid Coral,Title,Default Title,,,,,C1088,,,5300  S Atlantic Ave,,0,0,0,2,2,
ecc-laser-lemon-zoanthid-coral-zoas-soft,ECC Laser Lemon Zoanthid Coral,Title,Default Title,,,,,C1089,,,5300  S Atlantic Ave,,0,0,0,1,1,
ny-knicks-torch-coral-lps,Knicks Torch Coral,Title,Default Title,,,,,C1029,,,5300  S Atlantic Ave,,0,0,0,1,1,
holy-grail-indo-torch-coral-ls,Holy Grail Indo Torch Coral,Title,Default Title,,,,,C1030,,,5300  S Atlantic Ave,,0,0,0,1,1,
hellfire-gold-torch-coral-euphyllia-lps,Hellfire Gold Torch Coral,Title,Default Title,,,,,C1052,,,5300  S Atlantic Ave,,0,0,0,1,1,
superman-mushroom-coral,Superman Mushroom Coral,Title,Default Title,,,,,C1032,,,5300  S Atlantic Ave,,0,0,0,1,1,
murder-hornet-zoanthid-coral-zoas-soft,Murder Hornet Zoanthid Coral,Title,Default Title,,,,,C1033,,,5300  S Atlantic Ave,,0,0,0,1,1,
azz-krak-zoanthid-coral-zoanthid-soft,Azz Krak Zoanthid Coral,Title,Default Title,,,,,C1034,,,5300  S Atlantic Ave,,0,0,0,1,1,
blue-hornet-zoanthid-coral-zoas-soft,Blue Hornet Zoanthid Coral,Title,Default Title,,,,,C1035,,,5300  S Atlantic Ave,,0,0,0,1,1,
aphrodite-zoanthid-coral,Aphrodite Zoanthid Coral,Title,Default Title,,,,,C1037,,,5300  S Atlantic Ave,,0,0,0,1,1,
yellow-goniopora-coral,Yellow Goniopora Coral,Title,Default Title,,,,,C1039,,,5300  S Atlantic Ave,,0,0,0,3,3,
garden-of-eden-goniopora-coral-lps,Garden of Eden Goniopora Coral,Title,Default Title,,,,,C1040,,,5300  S Atlantic Ave,,0,0,0,1,1,
yellow-candy-cane-coral-lps,Yellow Candy Cane Coral,Title,Default Title,,,,,C1041,,,5300  S Atlantic Ave,,0,0,0,3,3,
white-candy-cane-coral-lps,White Candy Cane Coral,Title,Default Title,,,,,C1043,,,5300  S Atlantic Ave,,0,0,0,3,3,
cabbage-leather-cfc,Cabbage Leather CFC need pic,Title,Default Title,,,,,C1044,,,5300  S Atlantic Ave,,0,0,0,1,1,
frogskin-acropora-coral-sps,Frogskin Acropora Coral,Title,Default Title,,,,,C1044,,,5300  S Atlantic Ave,,0,0,0,3,3,
tricolor-valida-acropora-coral-sps,Tricolor Valida Acropora Coral,Title,Default Title,,,,,C1045,,,5300  S Atlantic Ave,,0,0,0,1,1,
